sentence_id	sentence	polarity
1083744548	Are you drinking decaf or caffeinated?	NEUTRAL
350940492	That does sound like you have a food sensitivity to coffee.	NEGATIVE
1099837313	 I don't think it's the caffeine, but one way you can figure out if it's caffeine is to try black or green tea (both are from the same plant).	NEUTRAL
1422180636	 Just be mindful that the green tea can still carry a problem with lead from the processing.	NEGATIVE
1934892816	 Dr. Mercola has articles that explain this more thoroughly.	NEUTRAL
1902757391	 There are some that he explains don't have this risk.	POSITIVE
1882214592	 I know it seems like there shouldn't be a risk, since they are steaming, then drying to keep the leaves green.	POSITIVE
513567436	 So, I'm not sure where the lead comes from.	NEUTRAL
416554499	 But, black tea doesn't carry the same risk.	POSITIVE
684960171	 I myself simply can't drink tea, though, because the tannin bothers me.	NEGATIVE
576436274	I think you're right.	POSITIVE
866997827	 I don't tolerate the tea plant at all myself.	NEGATIVE
1536643017	 The GERD is bothered by it, but I also get headaches from the tea plant.	NEGATIVE
2043428188	 So, like you, I can't touch the real tea.	NEGATIVE
1203401400	 It doesn't really surprise me that you are so attracted to the smell of coffee, even though you are clearly allergic to it.	NEUTRAL
2131799626	 I've learned a few years ago that often both people and pets tend to crave the very things they are allergic or sensitive to.	NEUTRAL
83126042	 I know that this is true even of my cat.	NEUTRAL
1513714680	 She is definitely allergic to grains, but if there is something that smells really good to her that is loaded with grains, she wants it.	NEGATIVE
1599229961	 And, she will try to take it.	NEUTRAL
2012718212	 She isn't normally like this with foods she isn't allergic to.	NEUTRAL
194659775	 If I'm eating meat, which she doesn't seem to have any allergies to that I don't have, she behaves herself quite nicely.	POSITIVE
253016793	 She might beg, but she begs politely instead of trying to take something.	NEUTRAL
2078831917	 When I saw that this happens even with the cat, I knew that what I had read about craving things one is allergic to is true and it can't be just psychological.	NEUTRAL
2015366979	 Cats are obligate carnivores after all.	NEUTRAL
2104219107	 There is likely a psychological connection, but it seems that there must be a physical connection, too, since the cat does this somewhat if something is really rich, like muffins, which I haven't had in forever since I haven't figured out how to make gluten free.	NEUTRAL
1293426315	Yeah we had switched our cats to a grain free food and our dog too called Tasted of the Wild: http://www.tasteofthewildpetfood.com/ You can find their food at your Tractor Supply stores.	NEUTRAL
852527090	 It costs a little more than normal cheap dogwoods/catfoods but has really been worth it for them.	NEUTRAL
825649104	 Their coats thickened up and they are eating less because they are actually full.	POSITIVE
4605579	As for my coffee intolerance yes amazing that I enjoy the smell of it so much :(  Gotta retrain myself.	NEGATIVE
1253296586	I think after a while you do actually start to feel more displeasure from the stuff you crave.	NEGATIVE
874000542	 There are times when my body has had enough coffee, so I have no pleasure in the coffee aisle--just a lot of sneezing.	NEGATIVE
1356572612	 I don't drink it all the time, but it does actually help with migraines if I don't drink too much of it.	POSITIVE
1968609893	That's a good resource for dog owners to know about.	POSITIVE
48226202	 I don't personally have a dog, but so many people do, so it's greatly appreciated that you posted that information.	POSITIVE
884076467	I am allergic to coffee.	NEGATIVE
1970634392	A scratch test showed the allergy.	NEUTRAL
1695120148	However, I am allergic to coffee only if I drink it.	NEGATIVE
905694708	Smelling it does not bother me.	POSITIVE
1928351442	I also have to avoid mocha.	NEUTRAL
1889137670	Since coffee is roasted, the protein must be in the roasted bean.	NEUTRAL
1485471082	I don't know if this is right or not, but it seems like I remember there being a common protein or a common natural chemical in both coffee and chocolate.	NEUTRAL
506218659	 I know that both have to be roasted in order to use them, too.	NEUTRAL
2022711636	You are both right actually I was reading about this recently as well that it is actually the protein in the coffee that causes this.	NEUTRAL
824939865	 I had broke down this past week and had coffee and then I wake up the next day with swollen eyes and face.	NEGATIVE
958828112	 It's one thing with shrimp I recently had a pretty bad reaction that I never had before and broke out in a rash and welts all over my legs--- I know now not to eat shellfish.	NEGATIVE
1530688725	 But the caffeine habit is hard to break because I get the physical addiction of a headache, nausea, fatigue.	NEGATIVE
1093819964	 So what I am going to do this week is cut out the coffee/tea etc and if I get a caffeine headache, take an Excendrin for Tension headaches. (	NEUTRAL
2083472814	that has tylenol/caffeine 65 mg) and just ween myself that way.	NEUTRAL
675681116	 It's obvious this is causing a reaction so using coffee to ween isn't helping.	NEGATIVE
446420219	 I'm really glad to hear of others with the same issue.	POSITIVE
13370972	 It makes me feel better.	POSITIVE
684200588	I am allergic to coffee, but bc it has a high content of nickel (which I'm allergic to).	NEGATIVE
1274494904	 If you notice feeling sick after eating other nickel-high foods (beans, chocolate, peas, whole wheats)...or if you react when wearing cheap jewlry, you may want to get tested for nickel allergy.	NEUTRAL
45297449	That's a good resource.	POSITIVE
2007970097	 I bookmarked it.	POSITIVE
531751458	 I have relatives with nickel allergies, and they might not be aware of the foods that make them feel worse.	NEUTRAL
49682307	 Plus, several of us have chronic illnesses, so this might be a contributing factor.	NEUTRAL
1310715425	Great resource betbri, I never knew about metal allergies.	POSITIVE
1761008975	 Nor did I realize it has a high content of nickel in it.	NEUTRAL
2007254804	 That is very interesting indeed.	POSITIVE
1508778260	 I actually had some of the metals removed from my mouth and replaced with white fillings.	NEUTRAL
1727030083	 I did read up on some of the vapors that can be given off from amalgam fillings and was astonished.	NEUTRAL
377740334	 I have a few that still need to be replaced, but better than the many I had in there.	POSITIVE
1929304761	 Did you do the Melisa test betbri or just go to your allergy doctor to be tested?	NEUTRAL
301921109	This is interesting to me about the mineral make-up.	NEUTRAL
455739995	 I hadn't thought of this at all, but metals are considered to be minerals.	NEUTRAL
657558651	 I haven't looked up the above link, but what I was thinking of was that a friend used some on me--once.	NEUTRAL
501989083	 I didn't get the severe allergic reactions that people who get rashes from metals would probably get, but I did get a bit itchy.	NEUTRAL
726135070	 The thing is, I can wear the cheap costume jewelry metals, like the metal watchband that I have that I know my cousins with metal allergies can't wear.	NEUTRAL
695886759	 But, the cheap ear wires and other costume jewelry metals do bother my ears a little.	NEGATIVE
1787495488	 So, I do switch out the ear wires to the sterling silver and the gold filled slightly more expensive ear wires.	NEUTRAL
565192801	 I am fine with these, but I know my cousins are still not fine with these, and neither is someone else I know who can only wear pure yellow gold.	POSITIVE
1703960065	 So, she doesn't have a whole lot of jewelry that she wears regularly because of this.	NEGATIVE
740943601	What I'm wondering is if the milder reaction I get from the cheap ear wires is more of a sensitivity to nickel and other cheaper metals, or is it something else?	NEUTRAL
1467539331	Don't worry.	NEUTRAL
1891875383	 I will find out more.	NEUTRAL
1111415162	 I do know about the white gold, for example, because a friend with metal allergies found out that white gold still has metal alloys in it.	NEUTRAL
656051308	 She can't wear the white gold because of the alloys.	NEGATIVE
1054355901	 I don't understand why doctors assume that a skin allergy to metals isn't serious enough to consider that taking the stuff internally would still be bad.	NEGATIVE
299190381	 I mean, the whole reason the skin scratch tests work as tests is because the skin is reacting to something the whole body is allergic to.	NEUTRAL
1397950897	 And, the skin is the largest organ in the body.	NEUTRAL
2134041587	 It just happens to be on the outside.	NEUTRAL
1207916771	 I did look at the MELISA site.	NEUTRAL
238359850	 I plan on sending the link to a cousin of mine, since she and all of her sisters are allergic to metals.	NEUTRAL
409444519	 They may not be aware of the food allergy connection.	NEUTRAL
857911515	 I have a lot of sensitivities versus allergies.	NEUTRAL
1127112609	 Now I'm beginning to wonder if the milder reaction I get from cheap ear wires, whether nickel or stainless steel, is connected to the food sensitivities.	NEUTRAL
779679723	 I will definitely be on guard and not allow any metal devices to be inserted in my body, since I have sensitivities.	NEGATIVE
1660379540	What is comical and also something to think about is when you get dental work done.	NEUTRAL
180789881	  About 6 months ago I had a root canal done on a back tooth, the dentist had file separation occur while performing the procedure.	NEUTRAL
1128884081	What is file separation I asked--- and he calmly explains to me that the drill broke off into my root system.	NEUTRAL
1701777892	 So yes I now have a little piece of titanium that you can see in my x-ray.	NEGATIVE
2117334290	 Thank goodness I have not had any allergic reaction to it or issues.	POSITIVE
1330540504	I guess I have the extreme end then.	NEGATIVE
308766055	I have been deadly allergic to the coffee bean protein all my life.	NEGATIVE
98271153	Like peanut allergy smell, contact or taste will cause my lungs to cease in minutes.	NEGATIVE
1062513426	Death is imminent in 10 minutes.	NEGATIVE
546946599	I cannot go near coffee shops as I would need a type 3 bio hazard suit and that would cause a huge problem.	NEGATIVE
379538835	I am not kidding either I really am that dangerously allergic to coffee.	NEGATIVE
920634107	Some kinds ill pass out if i smell it in minutes while others ill cough a lot and manage to get out of range.	NEGATIVE
1996941500	It's not a caffeine issue as I can drink tea no problem I was told im allergic to the coffee bean proteins themselves.	NEUTRAL
1737056500	Investigate dairy products such as milk and cheese.	NEUTRAL
1755556500	 Include cow's milk versus goat's milk, etc.	NEUTRAL
440791185	 I have asthma and my son inherited it from me.	NEGATIVE
327144820	 He mentioned the connection and I am checking it out now.	NEUTRAL
487975896	 So far, for me there does seem to be a strong parallel between consuming dairy products from a cow and  asthma (and phlegm).	NEUTRAL
2061607054	Interesting thread with great comments ....C~	POSITIVE
1104442127	I am allergic to coffee as well.	NEUTRAL
1639836882	If I drink one cup, I will be with fever and fatigued in bed for two days.	NEGATIVE
1783269460	Perhaps it is the metal content; however, I do not experience hives, rash or swelling.	NEUTRAL
1894814814	I have not drank coffee or related products for three years, yet I am frequently exposed to many metals and have not experienced any allergies to them.	NEUTRAL
865189630	You are the first person I've heard about in my Google searches so far who's got a true IgE food allergy to the coffee bean.	NEUTRAL
1435370684	Thank you for sharing your experience!	POSITIVE
348425729	My 20-month-old son got a tiny sip of a black coffee drink (no milk or other ingredients added) and almost needed his EpiPen Jr  before his reaction stopped progressing on its own.	NEGATIVE
814226536	His face, back, and chest got littered in hives, even his eyelids.	NEGATIVE
1520922465	His eyes got all red and itchy, and his nose started running off his face, which induced some sneezing and coughing.	NEGATIVE
563398920	He then acted very cranky and off, and even felt fevered, for the next two days.	NEGATIVE
352304224	He has an appt this Tuesday with his allergist to verify the coffee bean allergy.	NEUTRAL
1244338982	He's already very allergic to peanuts, nuts, eggs, and dairy, so I don't know how in the world we're adding a potentially anaphylaxis allergy to coffee, of all things.	NEGATIVE
241788284	It's everywhere when you really think about it!	NEUTRAL
1784096893	I just found this post on coffee allergy and this seems closest to what I have.	NEUTRAL
255991730	I'm 45 and on/off have been drinking coffee.	NEUTRAL
1274293119	In the last year, at least once a week I've had a very bad allergy attack similar to hay fever.	NEGATIVE
1992029886	Stuffy nose, congestion, headache and sneezing.	NEGATIVE
1009532288	It happens so frequently I was ready to go to the doctor but before going, I wanted to start tracking my daily behavior to narrow down what could be causing it.	NEUTRAL
1461702313	I drink wine, I smoke - I'm sure it could be any number of things.	NEUTRAL
1169890379	I stopped wine for a while and I was still getting them.	NEGATIVE
1136823130	I cut out cigarettes and was still getting them.	NEGATIVE
1123308750	Then one day, I decided to switch to tea instead of coffee and within one week, I wasn't getting the allergy attacks anymore!	POSITIVE
1781146200	There is very little online about the type of coffee allergy I've been experiencing but in doing some initial research, it looks like this is developing over time and perhaps its not an actual caffeine allergy as it is something to do with the coffee or it's processing methods.	NEUTRAL
1407933880	I think more research needs to be done in this area..	NEUTRAL
1535564996	There is a link between coffee sensitivity and gluten sensitivity!	NEUTRAL
1826137088	If you have gluten problems then it is very likely that the protein found in coffee is causing you the problems!	NEUTRAL
790927179	You may not be able to digest the protein in coffee that is similar to the protein found in gluten.	NEUTRAL
1577567947	I developed this same problem!	NEUTRAL
680977283	I am gluten intolerant!	NEUTRAL
1608675699	I began to realize that after drinking coffee, I had the same symptoms of swelling eyes, nasal drip and itchy ears!	NEGATIVE
1993978222	After doing a little research I came across a few articles about coffee and gluten sensitivity!	NEUTRAL
893777727	 Google coffee and gluten sensitivity!	NEUTRAL
360918794	 I love coffee and this was very disappointing for me!	NEGATIVE
538461864	I now drink a coffee substitution and feel much better!	POSITIVE
670448897	 It was tough to give up coffee but my immune system was really working over time trying to fight off the immune response of my system trying to digest the protein in the coffee.	NEGATIVE
1262850890	 I now realize I have a coffee intolerance just as I have a gluten intolerance.	NEUTRAL
724298312	It's the inability to digest the protein in both.	NEUTRAL
298779766	Hello everyone, I am a 40 y. o. musician and I enjoy a healthy lifestyle ( balanced diet + daily exercise).	NEUTRAL
95066028	My health is good except for a recently diagnosed intolerance to Tyramine.	NEUTRAL
984919524	For ex.	NEGATIVE
2116216942	if i eat a few slices of salami on an empty stomach it will trigger an attack, which is always the same : i get a really fast heartbeat + increased blood pressure + nausea 15 mn after ingestion.	NEGATIVE
2222216942	Sometimes the heart palpitations last for 1/2 h ( 120-130 bpm), and the nausea + lightheadedness will last for a day, it depends on the type of food, if i am tired etc... I am 99% sure the culprit is Tyramine, which is a natural amine found in all foods but much higher in foods that are aged, fermented, pickled  ( salami, cheese, sauerkraut, smoked salmon, anchovy paste ), in foods that have been stored for a long time ( nuts, dried fruits) and also in overripe fruits like bananas, oranges and avocados.	NEUTRAL
493943550	 The list of foods I was reacting to was so eclectic, I couldn’t find the link between them for a long time, it was very perplexing and scary and i lost a lot of weight.	NEGATIVE
1942522562	I did a lot of research, started an elimination diet and asked many doctors before a neurologist mentioned the cheese migraine symptoms to me.	NEUTRAL
1394439517	Later I found a list of Tyramine loaded foods in which I recognized every single food that had triggered an attack after I ingested it.	NEUTRAL
1196337335	There is no test to confirm my theory but since I eliminated these Tyramine loaded foods from my diet I feel much better and less terrified of eating, and I am even putting some weight back on ( 112 lbs for 5’4”).	POSITIVE
1316289586	 Soon hopefully I will feel strong enough to start reintroducing these foods into my diet in very small quantities to get myself desensitized, unless of course one day I wake up free of this strange condition that appeared for no reason and might disappear the same way.	POSITIVE
934620636	 I guess what is very puzzling to me is the fact that this sensitivity appeared out of the blue, that the symptoms are so violent and that I DO NOT get migraines.	NEUTRAL
1042235727	People who have problems with foods high in Tyramine usually are either migraine sufferers and/or on antidepressant ( MAOs).	NEUTRAL
76385122	I do not take any medication and my symptoms are always exactly the same 5 to 10 mn after ingesting the culprit food : tachycardia + hypertension + tremors + nausea and sometimes light headache when the attack is really bad.	NEGATIVE
1760648899	After having had about 14 attacks within the last 12 months it is such a relief to be able to eat again !	POSITIVE
1390014018	 So I guess now my goal is to put the word out and ask as many persons as possible is they have ever heard of a patient with the same symptoms, which is why I posted this text.	NEUTRAL
1089067941	 Does anyone have the same symptoms or know anything about Tyramine ?	NEUTRAL
1627066056	I think tyramine effects glucose uptake and insulin sensitivity.	NEUTRAL
1284679874	The heart reacts to changes in insulin levels, which can cause the palpitations.	NEUTRAL
1518247415	 Perhaps you are becoming more insulin sensitive, for some reason?	NEUTRAL
1007291175	Congratulations on finding the culprit causing your symptoms!	POSITIVE
1731111567	Great sleuthing!	POSITIVE
1560402865	Hi, My daughter has the same thing (tyramine) and within 36 hrs of eliminating it in her diet ALL her symptoms went away .. migraine/joint pain/loss of concentration and word retrieval issues.	POSITIVE
1248672972	 It took about 3 weeks into a total food elimination diet thru her allergist to find both tyramine &amp; sulfites.	NEGATIVE
941001419	 And, this was 10 yrs ago.	NEUTRAL
886490434	 Today .. she avoidds and is fine.	NEUTRAL
244679455	 We were told it is most likely a severe intolerance and not a true allergy in my dd's case.	POSITIVE
42412741	C~	NEUTRAL
1927348561	I experience chest pains very soon after eating dark chocolate, shark meat, bison meat, aged cheeses (cheddar, etc.)...	NEGATIVE
210683023	it is so consistent and predictable.	NEUTRAL
1919507407	 I also used to get migraines - but just chest pains.	NEGATIVE
1074331574	 They go away after a few minutes, but I still have to learn to curb my portions of high-tyramine foods.	NEUTRAL
1335064935	I have a severe intolerance to Tyramine, and maybe other things - who knows?!	NEUTRAL
761662617	 I realised what it was over 14 years ago, but know the symptoms were there for about ten years previous!	NEUTRAL
1363558572	 The only things I can eat now without succombing to severe and prolonged pain are:  pasta, carrots, parsnips, peppers, apples, melons and pears.	NEGATIVE
1920128031	 Over the years it has gotten worse, the list didn't start out this short!	NEGATIVE
1248291142	 And I've lost about 3 or 4 stone over time!	NEUTRAL
843229895	I've asked for help repeatedly from my GP, but they're not interested and just say that there is nothing they can do.	NEGATIVE
2092759961	 And I keep getting worse.	NEGATIVE
1390138362	What do I do ?!!	NEUTRAL
172535440	I am a migraine sufferer myself.	NEGATIVE
1619435716	 Now I am intrigued and will definitely do some research about Tyramine.	NEUTRAL
1690783956	 I do have food sensitivity issues as well, so this looks like a worthy research to do for myself.	NEUTRAL
286313919	 I never heard of Tyramine and the neurologist never mentioned it before.	NEUTRAL
1973267234	tyramine is a catecholamine releasing agent.	NEUTRAL
1192368121	tyramines sends my blood pressure sky rocketing(hypertensive crisis) and then i start vomiting, usually all day.	NEGATIVE
230992822	i have had this problem all my life and only found out about it last year.	NEUTRAL
38105213	i will be 64 in November.	NEUTRAL
532470828	i wished i would have learned about it sooner.	NEGATIVE
1907652723	Yep, tyramine intolerance does affect migraines and IBS.	NEUTRAL
442508551	 I had already eliminated many foods in that list because of preservatives for me.	NEUTRAL
1589571983	 I have stayed away from high tyramine foods and that helped.	POSITIVE
249183802	 Through my research I have found that gluten intolerance is actually a part of tyramine intolerance, so I recommend that you also eat a gluten free diet.	NEUTRAL
1740068644	 It made a huge difference for me.	POSITIVE
1797846226	I had the same thing begin suddenly in 2014.	NEUTRAL
1959474239	I am healthy eater - or so I thought.	NEUTRAL
1718344831	After trips to doc and a couple to the ER I found that eating fresh food - not eating canned or pre-packaged eliminated most symptoms.	NEUTRAL
812494092	My research uncovered a ton of info - I hope that you find this helpful: Regular coffee, tea, and soft drinks are on the list of things to avoid.	NEUTRAL
1173624664	Not sure about decaf.	NEUTRAL
799527287	Canned and packaged food contains sulfites,  Nitrates and preservatives that trigger symptoms.	NEUTRAL
383833835	Aged meats such a salami, pepperoni bacon, jerky, sausage, hot dogs should be avoided.	NEGATIVE
1886164230	Anything femented, aged can cause problems.	NEGATIVE
1503127559	Beer, wine, aged cheese, Seeds and nuts cause problems for those with the sensitivity.	NEGATIVE
1170400361	 I also eliminated bread as yeast is a trigger.	NEUTRAL
1044098158	Another trigger is Soy - soy oil is in many things so be sure to check ingredients.	NEUTRAL
1303942052	 Bottom line is I now eat only fresh beef, poultry and fish.	NEUTRAL
120547302	If not eaten within 24 hours of cooking I freeze.	NEUTRAL
1857073306	If not cooking within 24 hours of purchase I freeze.	NEUTRAL
792148753	I eliminated Irish potatos but still eat red and sweet potatos.	NEUTRAL
66420258	It's a pain but sticking with the freshness rule keeps me symptom free.	POSITIVE
346658413	Unlike your symptoms mine lasted for days and often did not occur for up to 48 hours after eating a trigger food.	NEUTRAL
1454128251	Doctors say developing allergies and sensitivties as we age is common.	NEUTRAL
1379151624	Tyramine sensitivity can only be treated by diet - I wonder if it ever goes away.	NEUTRAL
1174626828	As furballsmom stated: Gluten may be an issue.	NEGATIVE
245859091	I had to eliminate wheat too and no more peanut butter - dang.	NEGATIVE
839712542	Bottom line is I eat like a cave man and so far so good.	POSITIVE
1795631577	Can you give me a list of "safe" foods?	NEUTRAL
1385584220	After eating peanuts and cheddar cheese with my lunch I suddenly had a terrible "sinus" headache.	NEGATIVE
1604855204	It was so bad that my top teeth were aching.	NEGATIVE
104005285	It led me to google,do peanut and cheese cause headaches.	NEUTRAL
2064369895	I discovered they both have tyramine and if sensitive can cause someone to get headaches.	NEUTRAL
780448102	The question also led me here in the hope to get more answers.....	NEUTRAL
1012168962	Hi there,  We went out for dinner a week ago, I always have Oysters for entrée and this time was no different.	NEUTRAL
1934380972	 But after I ate 2, I felt a bit giddy and nauseas and stopped.	NEGATIVE
205766439	 Next day I noted I have a rash over my neck, chest and upper body.	NEGATIVE
396670099	 Does that mean I am suddenly now allergic to Shellfish?	NEUTRAL
607014774	 I am scared of worse symptoms next time, but I absolutely love my fish and Oysters.	NEGATIVE
1105782186	   What should I do to make sure that this is an allergy?	NEUTRAL
413175593	Sorry to hear that.	NOT_LABELED
1703876538	Folks' allergies can change every five years, so, this is probably the case with you.	NEUTRAL
1404517797	Hopefully, one day, this will pass and you will be able to eat these foods again.	POSITIVE
2065186561	I had a suspicion as I was reading your post that you had shellfish allergies due to your intolerance of the iodine bath they gave you before your surgery, this is a dead give-away normally.	NEUTRAL
1678945641	I still have the hives in my neck and it is driving me nuts!	NEGATIVE
1259196928	How long will it take to go away?	NEUTRAL
847302998	Hi, I am now on Prednisone for 5 days and some cream.	NEUTRAL
1865012708	Fish and Shellfish allergy and I am really bummed as I love fish!	NEGATIVE
2138376082	Sounds like the start to my 5 year long mystery experience.	NEGATIVE
626452714	 I think others have mentioned, and not too sure if you have done so but I highly recommend the allergen blood panel testing.	POSITIVE
505011321	I have recently discovered that not only am I allergic to nightshade veggies (tomatoes and peppers were a lifelong part of my daily diet).	NEUTRAL
39741970	 This is on top of my damming intolerance to gluten.	NEUTRAL
1970272742	All of this came on suddenly with me and won't show up on a basic overall basic heath blood test.	NEUTRAL
1158169362	As for the prednisone .....I would highly recommend an alternative.	NEUTRAL
1565410054	 Recent studies link prednisone to hip degeneration, osteoporosis, to name a few.	NEGATIVE
1720039213	 Supposedly it does more harm than good.	NEGATIVE
285276599	well, sounds like a fish or shellfish allergy... you may ask a specialist, sorry about that! :/	NEGATIVE
1365311729	Hi Eve, It was allergist, I have not gotten a word from him yet, and I was hoping to use to this medium to get some answers :)	NEUTRAL
1179973956	HI Eve, thank you for the head ups I spoke to my doctor and he said the coconut milk, is fine and the vitamin c is fine.	POSITIVE
1636512039	But to second opinion from a different allergist, I mean this want to vaccinate me for like three months for his finding in terms of tree pollen, etc, food allergies, are tomatoes, pork, milk, and milk products, almonds, chocolate and oranges.	NEUTRAL
1672791560	Thanks for wishing me luck.	POSITIVE
58970680	Eve take good care :)	POSITIVE
382851546	I've been to an allergist, testing done, prednisone given.	NEUTRAL
244207473	No real effects except outside.	NEUTRAL
1539611616	He also mentioned keeping tract for couldn't test everything.	NEUTRAL
1278888158	Also went to dermatologist who didnt agree with prednisone.	NEUTRAL
376862274	It was quite an expense for they want you to keep coming.	NEGATIVE
1461081752	Burning comes on from paprika, I can't yet figure out all of what I'm allergic to.	NEGATIVE
281137798	Rashes  and itching drive me crazy.	NEGATIVE
1545017069	Eggs cause coughing, even whenvin rolls, alone.	NEUTRAL
2019807110	Potatoes are the worst, I get sick, can't swallow well.	NEGATIVE
1384998119	My face burns, husband put soy on my steak last night.	NEGATIVE
1924701293	Thanks, Debby	POSITIVE
1875545674	Last night after eating a small amount of eggs my tongue started to go numb and tingle- then it felt huge and heavy and i could not keep it in my mouth.	NEGATIVE
1252837346	 I looked in the mirror and saw a red dot on the tip of my tongue that was not normally there and my tongue kind of hurt and looked swollen.	NEGATIVE
809711054	 I could breathe ok, but it took almost three hours for my tongue to fit back into my mouth and half that time the numbness had faded to the front of the tongue.	NEGATIVE
2076139397	 Today I still cannot feel the very tip of my tongue and the red dot is gone, but I have a lisp that I cannot get rid of that I did not have before- it's very alarming.	NEGATIVE
685048487	 I heard that it could have been an allergy to the meat, a protein intolerance, vitamin b12 deficiency or it could be something like MS.	NEUTRAL
798416148	 I am planning on going to a doctor but do not know what kind of doctor to go to for this predicament?	NEUTRAL
387654659	 A neuro?	NEUTRAL
713078642	 A general practitioner?	NEUTRAL
28459319	 Or another kind of specialist?	NEUTRAL
1436329761	I actually have a similar issue which is why I normally switch to a vegetarian diet.	NEUTRAL
791120231	 Fish does not bother me neither does shrimp.	POSITIVE
1375776060	 But red meats and sometimes even chicken seems to cause cramps in my stomach and also constipates me.	NEGATIVE
1705434720	 Other people in my household do not have this problem.	NEUTRAL
2125335553	 I have always had a sensitive stomach though so I just attributed it to this.	NEGATIVE
1811722173	 I do eat meat when I am pregnant as that is what my body craves but yes it's hard on my digestive system and I still have to take breaks from it.	NEGATIVE
1993458249	 Keep us updated on this, I'm certainly curious what you find out or discover.	NEUTRAL
242097669	Hi, My daughter carries an epi pen because bee stings cause her tongue to swell!	NEUTRAL
1167364282	 When you get oral swelling, it can be very serious.	NEGATIVE
893932483	Good Luck -- glad you were able to stop back to get some info here C~	POSITIVE
1560581939	I don't know if this will help at all either, but my mother-in-law has an allergy to sesame that causes this.	NEGATIVE
241855766	 She eats meat, but there are a lot of things that include cooking with sesame that give her an allergic reaction right away.	NEGATIVE
1061133230	 So maybe check some of the things that you ate or see if this is something that has been an ingredient that bothers you.	NEUTRAL
659353373	 I know you mentioned you didn't have health insurance, so I thought I would share with you that she also carries around liquid Benadryl in case she accidentally eats something with sesame in it.	NEUTRAL
1050767240	 It seems to help her quicker than the tablets.	POSITIVE
293608608	 She developed this when she was about 40.	NEUTRAL
1663400808	I did not know that Benadryl could help with food allergies, that is great to know.	POSITIVE
1643764728	I get a stomach ache alot after eating chicken or beef (two more allergies of mine) I mean, I can take just two bites, and wham-o, the tummy pain begins.	NEGATIVE
1593549554	Other times, however, I do not get the pain, it is so weird.	POSITIVE
